names	A_loading	corrs	color
c.16.S100A8	1	0.160714529608608	Red
c.16.S100A9	1	0.18249156614094	Red
c.9.CCL17	0.692840103780545	0.0354331929142605	Red
c.7.CCL18	0.629550786478977	0.297463841749347	Red
c.16.S100A7	0.532680839623445	-0.0187282514178053	Blue
c.5.CCL26	0.40886309300219	-0.072735302017988	Blue
c.11.FABP5	0.405217773893458	0.279617149075139	Red
c.2.FABP5	0.344704037217899	-0.0884147683212668	Blue
c.17.JUN	0.330827136382783	-0.0143728441113389	Blue
c.3.APOD	0.239225361983001	-0.251742542313755	Blue
c.3.STMN2	0.00107614617356295	0.67160380665711	Red
c.3.SAA1	0.00546182660281249	0.622929617739669	Red
c.13.CCDC80	0.0138052314667611	0.588415527103603	Red
c.6.CCL19	0.0779112099350553	0.58493120125843	Red
c.3.STC2	0.0231137039418908	0.58231795687455	Red
c.2.CLU	0.0357288028276745	-0.569687275685798	Blue
c.3.GSN	0.0318037670406325	-0.566202949840625	Blue
c.1.APOE	0.0297349979570927	-0.554878890843812	Blue
c.3.WISP2	0.000192678701742823	-0.553136727921226	Blue
c.0.S100A2	0.102278717004502	0.523955498967901	Red
