names	A_loading	corrs	color
c.10.HSPA1B	1	0.476917100058065	Red
c.10.DNAJB1	1	0.425523293841762	Red
c.10.HSPA1A	0.0179478721290729	0.236934157471769	Red
c.15.TSC22D1	0.0177262815550144	-0.165462636591729	Blue
c.7.TNF	0.0134325916523069	-0.0444251545259567	Blue
c.12.HSPE1	0.0119775706266057	0.0770907093244543	Red
c.6.CXCL2	0.0115801492870937	0.109756264122952	Red
c.8.HES1	0.0106592866592793	-0.04529623598725	Blue
c.7.S100A9	0.0105623949647489	0.362805428628647	Red
c.8.APOD	0.0101849080887263	0.0413763694114303	Red
c.3.SLPI	0.00366451729379733	-0.649391229394132	Blue
c.3.TPPP3	0.00334720393986959	-0.638502711127966	Blue
c.10.FOS	0.00333299763532312	0.636325007474733	Red
c.10.TXNIP	0.00638404858457476	0.635889466744086	Red
c.3.DIO2	0.00178344513690834	0.633276222360207	Red
c.10.KLF6	0.0020288036680044	0.632405140898913	Red
c.3.TNC	0.00286535116630192	0.621516622632747	Red
c.4.CXCL3	0.00192426305029597	0.607579319252055	Red
c.3.TNXB	0.00158623173499758	-0.604094993406882	Blue
c.5.IGFBP5	0.00414216638442208	-0.597126341716536	Blue
