names	A_loading	AUCs	corrs	color
X4.Oxo.3.4.dihydroquinazoline.2.carbohydrazide_C9.H8.N4.O2_172.035_205.068_p	1	0.132231404958678	-0.637652965048	Blue
X4.Oxo.3.4.dihydroquinazoline.2.carbohydrazide_C9.H8.N4.O2_204.061_205.068_p	1	0.132231404958678	-0.637652965048	Blue
L.Iditol_C6.H14.O6_182.079_183.086_p	1	0.140495867768595	-0.623323684934561	Blue
D.Iditol_C6.H14.O6_182.079_181.072_n	1	0.165289256198347	-0.580335844594247	Blue
X_C7.H16.O8_228.085_227.077_n	1	0.148760330578512	-0.608994404821123	Blue
X_C6.H7.N3.O8.S_280.996_282.003_p	0.0543463253361735	0.165289256198347	-0.580335844594247	Blue
X_C19.H37.N.O2_311.283_312.29_p.1	0.0381639292054513	0.256198347107438	-0.422713763346427	Blue
Diethanolamine_C4.H11.N.O2_105.079_106.086_p.4	0.015208314379081	0.181818181818182	-0.551677284367371	Blue
N.N.Bis.2.hydroxyethyl.dodecanamide_C16.H33.N.O3_287.246_288.253_p	0.0134116155950271	0.28099173553719	-0.379725923006112	Blue
X_C6.H10.N4.O6.S_266.032_267.039_p	0.0119817019586179	0.12396694214876	-0.651982245161438	Blue
Ampelomin.B_C7.H12.O3_144.079_145.086_p	0.00281906871908333	0.859504132231405	0.623323684934561	Red
X_NA_146.997_148.004_p	0.00185407801869494	0.826446280991736	0.566006564480809	Red
X_C4.H10.N4.O4_178.07_177.063_n	0.00184795134525037	0.826446280991736	0.566006564480809	Red
Hexanoylcarnitine_C13.H25.N.O4_259.178_260.186_p	0.00465112185136307	0.818181818181818	0.551677284367371	Red
X_C3.H4.N2.O3_116.022_115.015_n	0.00216622576821973	0.809917355371901	0.537348004253932	Red
X_C7.H14.N4.O4_218.101_219.109_p	0.00887984415661194	0.809917355371901	0.537348004253932	Red
Creatine_C4.H9.N3.O2_131.069_132.077_p	0.00186815394478805	0.801652892561983	0.523018724140494	Red
X_C6.H3.N2.O7.P_245.967_268.957_p	0.00307797767113921	0.793388429752066	0.508689444027056	Red
X_C7.H15.Cl.N4.O3_238.083_239.091_p.2	0.00166640023954148	0.785123966942149	0.494360163913618	Red
X_C8.H15.Cl.N2.O3_222.077_223.084_p.3	0.00387510426302655	0.776859504132231	0.480030883800179	Red
