names	A_loading	AUCs	corrs	color
X_C4.H5.N5.O.S_171.021_86.518_p	1	0.115702479338843	-0.666311525274876	Blue
X_NA_85.51_86.518_p	1	0.132231404958678	-0.637652965048	Blue
Caprolactam_C6.H11.N.O_113.084_114.091_p	0.0208101916114022	0.28099173553719	-0.379725923006112	Blue
X_C90.H158.N2.O11.P2.S_1537.105_769.56_p	0.0207965006136308	0.330578512396694	-0.293750242325483	Blue
X_NA_757.81_758.817_p	0.0200432833917022	0.272727272727273	-0.39405520311955	Blue
Legonmycin.B_C14.H22.N2.O3_266.163_267.17_p	0.0195848040276307	0.479338842975207	-0.0358232002835955	Blue
X_C8.H15.Cl.N2.O3_222.077_223.084_p	0.0183783884206692	0.677685950413223	0.308079522438921	Red
Dihydrothymine_C5.H8.N2.O2_128.059_129.066_p	0.0177924246334766	0.537190082644628	0.0644817605104719	Red
X_C16.H33.N.O2_271.251_272.258_p	0.0167494488953596	0.247933884297521	-0.437043043459865	Blue
Pseudoanguillosporin.B_C17.H26.O4_294.183_293.176_n	0.0166914277522475	0.520661157024793	0.0358232002835955	Red
Ampelomin.B_C7.H12.O3_144.079_145.086_p	0.00596964008602814	0.859504132231405	0.623323684934561	Red
X_NA_146.997_148.004_p	0.01486291805423	0.826446280991736	0.566006564480809	Red
X_C4.H10.N4.O4_178.07_177.063_n	0.0121828861128909	0.826446280991736	0.566006564480809	Red
Hexanoylcarnitine_C13.H25.N.O4_259.178_260.186_p	0.00600165677502284	0.818181818181818	0.551677284367371	Red
X_C3.H4.N2.O3_116.022_115.015_n	0.00696218713442743	0.809917355371901	0.537348004253932	Red
X_C7.H14.N4.O4_218.101_219.109_p	0.0126683958264591	0.809917355371901	0.537348004253932	Red
Creatine_C4.H9.N3.O2_131.069_132.077_p	0.00691867766010818	0.801652892561983	0.523018724140494	Red
X_C6.H3.N2.O7.P_245.967_268.957_p	0.00590389876389154	0.793388429752066	0.508689444027056	Red
X_C7.H15.Cl.N4.O3_238.083_239.091_p.2	0.00945313756248716	0.785123966942149	0.494360163913618	Red
X_C8.H15.Cl.N2.O3_222.077_223.084_p.3	0.00767333566040628	0.776859504132231	0.480030883800179	Red
