names	A_loading	AUCs	corrs	color
X_NA_216.995_218.003_p	1	0.479338842975207	-0.0358232002835955	Blue
X_C5.H7.N3.O3.P2_218.996_220.003_p	1	0.479338842975207	-0.0358232002835955	Blue
X_NA_1371.74_684.862_n	0.0136657786221132	0.272727272727273	-0.39405520311955	Blue
X_NA_175.501_176.509_p	0.0122218602387674	0.206611570247934	-0.508689444027056	Blue
X_C15.H6.N6.O16.P2.S2_651.876_650.869_n	0.0115998478399875	0.305785123966942	-0.336738082665798	Blue
X_C7.H24.N9.O2.P_297.179_298.186_p	0.00952371786086948	0.537190082644628	0.0644817605104719	Red
X_C15.H38.N9.P_375.299_376.306_p	0.00938890134198031	0.43801652892562	-0.107469600850786	Blue
X_NA_1331.761_664.873_n	0.0091379960894608	0.520661157024793	0.0358232002835955	Red
X_C6.H7.N3.O8.S_280.996_282.003_p	0.00887310326253828	0.165289256198347	-0.580335844594247	Blue
X_C10.H25.N4.O4.P_296.16_297.167_p	0.00879412799616698	0.396694214876033	-0.179116001417977	Blue
Ampelomin.B_C7.H12.O3_144.079_145.086_p	0.00414475423807147	0.859504132231405	0.623323684934561	Red
X_C4.H10.N4.O4_178.07_177.063_n	0.00393641446435096	0.826446280991736	0.566006564480809	Red
X_NA_146.997_148.004_p	0.000363970580974224	0.826446280991736	0.566006564480809	Red
Hexanoylcarnitine_C13.H25.N.O4_259.178_260.186_p	0.000879304772395274	0.818181818181818	0.551677284367371	Red
X_C3.H4.N2.O3_116.022_115.015_n	0.00115777636212603	0.809917355371901	0.537348004253932	Red
X_C7.H14.N4.O4_218.101_219.109_p	0.00344490828712028	0.809917355371901	0.537348004253932	Red
Creatine_C4.H9.N3.O2_131.069_132.077_p	0.00167021178375996	0.801652892561983	0.523018724140494	Red
X_C6.H3.N2.O7.P_245.967_268.957_p	0.00052710756641067	0.793388429752066	0.508689444027056	Red
X_C7.H15.Cl.N4.O3_238.083_239.091_p.2	0.000781159197410287	0.785123966942149	0.494360163913618	Red
X_C8.H15.Cl.N2.O3_222.077_223.084_p.3	0.00423945397166449	0.776859504132231	0.480030883800179	Red
